angDist,RAJ2000,DEJ2000,nobs,B-V,e_B-V,fuv_mag,nuv_mag,ipmag,gpmag,rpmag,present,type,class
1.588443,131.637087,16.433148,6,0.633,0.075,22.309,15.622,10.798,11.323,10.944,1,ROT                           ,ROTATIONAL
0.343069,136.915974,5.263434,7,0.554,0.058,20.648,15.316,10.302,10.946,10.409,1,ROT                           ,ROTATIONAL
0.967784,136.903293,5.457959,7,0.541,0.072,22.065,16.689,12.546,12.98,12.664,1,RS                            ,ROTATIONAL
1.790644,135.398368,10.002007,7,0.928,0.124,23.729,21.348,14.219,15.292,14.508,1,ROT                           ,ROTATIONAL
0.579505,134.056811,13.509703,5,0.475,0.06,21.433,15.631,11.667,12.019,11.744,1,ROT                           ,ROTATIONAL
1.055237,136.748806,5.442636,6,1.235,0.062,23.238,21.638,13.26,14.826,13.723,1,ROT                           ,ROTATIONAL
0.572889,132.101926,16.61697,6,0.407,0.051,22.736,17.521,14.244,14.459,14.224,1,ROT                           ,ROTATIONAL
0.550413,132.209321,16.80724,5,0.894,0.037,22.562,17.391,10.057,10.976,10.281,1,ROT                           ,ROTATIONAL
0.613136,136.233515,5.347071,6,0.913,0.07,23.489,19.209,12.012,12.985,12.28,1,ROT                           ,ROTATIONAL
0.284968,139.489667,7.20094,5,0.483,0.049,22.372,16.961,13.106,13.485,13.218,1,ROT                           ,ROTATIONAL
1.840591,134.572565,10.137327,6,0.101,0.072,14.407,12.846,10.625,10.489,10.459,1,ROT                           ,ROTATIONAL
0.58261,137.924562,8.323106,5,0.563,0.026,22.217,15.55,11.05,11.524,11.123,1,ROT                           ,ROTATIONAL
1.174391,134.356168,10.210279,6,0.422,0.067,21.229,15.663,11.745,12.029,11.791,1,ROT                           ,ROTATIONAL
